,Lemma,definition
0,и,"<i>Letter</i><br>1. The tenth letter of the Russian Cyrillic alphabet. Its name is и (i) and is usually pronounced /i/, but unstressed or after certain consonants it merges with ы into /ɪ/. It is preceded by З (Z) and followed by Й (J).<br><i>Noun</i><br>1. The tenth letter of the Russian Cyrillic alphabet. Its name is и (i) and is usually pronounced /i/, but unstressed or after certain consonants it merges with ы into /ɪ/. It is preceded by З (Z) and followed by Й (J).<br><i>Conjunction</i><br>1. The tenth letter of the Russian Cyrillic alphabet. Its name is и (i) and is usually pronounced /i/, but unstressed or after certain consonants it merges with ы into /ɪ/. It is preceded by З (Z) and followed by Й (J).<br><i>Particle</i><br>1. The tenth letter of the Russian Cyrillic alphabet. Its name is и (i) and is usually pronounced /i/, but unstressed or after certain consonants it merges with ы into /ɪ/. It is preceded by З (Z) and followed by Й (J)."
1,в,"<i>Letter</i><br>1. The third letter of the Russian alphabet, called вэ and written in the Cyrillic script.<br><i>Preposition</i><br>1. The third letter of the Russian alphabet, called вэ and written in the Cyrillic script.<br><i>Noun</i><br>1. The third letter of the Russian alphabet, called вэ and written in the Cyrillic script."
2,не,"<i>Particle</i><br>1. not, no, -n't, without<br>2. Idiomatic negative usage<br>3. perhaps not, whether ... or not<br>4. will never<br>5. (usually not translated, gives affirmative meaning for expression, especially in exclamations)<br><i>Prefix</i><br>1. not, no, -n't, without<br>2. Idiomatic negative usage<br>3. perhaps not, whether ... or not<br>4. will never<br>5. (usually not translated, gives affirmative meaning for expression, especially in exclamations)<br><i>Interjection</i><br>1. not, no, -n't, without<br>2. Idiomatic negative usage<br>3. perhaps not, whether ... or not<br>4. will never<br>5. (usually not translated, gives affirmative meaning for expression, especially in exclamations)"
3,я,<i>Letter</i><br>1. The thirty-third and final letter of the Russian Cyrillic alphabet. Its name is я (ja) and it has the sound of English ya in yard. It is preceded by the letter Ю (Ju).<br><i>Noun</i><br>1. The thirty-third and final letter of the Russian Cyrillic alphabet. Its name is я (ja) and it has the sound of English ya in yard. It is preceded by the letter Ю (Ju).<br><i>Pronoun</i><br>1. The thirty-third and final letter of the Russian Cyrillic alphabet. Its name is я (ja) and it has the sound of English ya in yard. It is preceded by the letter Ю (Ju).
4,быть,<i>Verb</i><br>1. to be
5,он,"<i>Pronoun</i><br>1. third-person masculine singular pronoun: he, it.<br>2. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>3. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>4. The prepositional case is never used without a preposition<br>5. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>6. Archaic feminine form: оне́ (oné)"
6,а,"<i>Letter</i><br>1. The first letter of the Russian alphabet, written in the Cyrillic script.<br>2. The name of the Roman letter A, a in Russian.<br><i>Conjunction</i><br>1. The first letter of the Russian alphabet, written in the Cyrillic script.<br>2. The name of the Roman letter A, a in Russian.<br><i>Interjection</i><br>1. The first letter of the Russian alphabet, written in the Cyrillic script.<br>2. The name of the Roman letter A, a in Russian.<br><i>Particle</i><br>1. The first letter of the Russian alphabet, written in the Cyrillic script.<br>2. The name of the Roman letter A, a in Russian.<br><i>Pronoun</i><br>1. The first letter of the Russian alphabet, written in the Cyrillic script.<br>2. The name of the Roman letter A, a in Russian."
7,по,"<i>Preposition</i><br>1. with accusative case
up to
till
indicates distribution (with numerals other than one, a thousand, a million, a billion, a trillion, etc. and compound numerals ending these words)<br>2. up to<br>3. till<br>4. indicates distribution (with numerals other than one, a thousand, a million, a billion, a trillion, etc. and compound numerals ending these words)<br>5. with dative case
along
over
around
about
on<br>6. along<br>7. over<br>8. around<br>9. about<br>10. on<br>11. according to<br>12. showing the cause that is unwanting or unwilling (see из-за usage notes for more detail)<br>13. indicates the direct object of some verbs of striking or hitting<br>14. indicates repetition of time<br>15. indicates distribution (with numerals one, a thousand, a million, a billion, a trillion, etc. and compound numerals ending in these words)<br>16. with prepositional case
on, immediately after<br>17. on, immediately after<br>18. for<br>19. to the liking of"
8,она,"<i>Pronoun</i><br>1. she, it<br>2. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>3. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>4. The prepositional case is never used without a preposition<br>5. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>6. Archaic feminine form: оне́ (oné)<br>7. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>8. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>9. The prepositional case is never used without a preposition<br>10. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal."
9,этот,"<i>Determiner</i><br>1. proximal demonstrative adjective and pronoun, this"
10,к,<i>Letter</i><br>1. The twelfth letter of the Russian Cyrillic alphabet. Its name is ка (ka) and it has the sound of English k. It is preceded by Й (J) and followed by Л (L).<br><i>Preposition</i><br>1. The twelfth letter of the Russian Cyrillic alphabet. Its name is ка (ka) and it has the sound of English k. It is preceded by Й (J) and followed by Л (L).<br><i>Prefix</i><br>1. The twelfth letter of the Russian Cyrillic alphabet. Its name is ка (ka) and it has the sound of English k. It is preceded by Й (J) and followed by Л (L).
11,но,"<i>Conjunction</i><br>1. but, yet<br><i>Noun</i><br>1. but, yet<br><i>Noun</i><br>1. but, yet<br><i>Interjection</i><br>1. but, yet"
12,они,"<i>Pronoun</i><br>1. they<br>2. they<br>3. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>4. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>5. The prepositional case is never used without a preposition<br>6. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>7. Archaic feminine form: оне́ (oné)<br>8. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>9. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>10. The prepositional case is never used without a preposition<br>11. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal."
13,мы,"<i>Pronoun</i><br>1. we<br>2. I (only when used with с (s))<br>3. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>4. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>5. The prepositional case is never used without a preposition<br>6. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>7. Archaic feminine form: оне́ (oné)<br>8. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>9. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>10. The prepositional case is never used without a preposition<br>11. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal."
14,из,"<i>Preposition</i><br>1. from<br>2. out of<br>3. of, through"
15,который,"<i>Pronoun</i><br>1. which?<br>2. which, that, who, whom"
16,за,"<i>Preposition</i><br>1. (of location) behind; beyond; on the other side of (+ instrumental) <br>2. (of motion, + accusative case) to<br>3. (of time, + accusative case) during (close to в течение)<br>4. (of time, + accusative case with до) time before an event<br>5. (+ accusative case) for; to; by; after; over<br>6. (+ accusative case) instead of<br>7. (of voting, + accusative case) in favor of<br>8. (+ instrumental case) at; while<br>9. "
17,свой,"<i>Pronoun</i><br>1. one's own; my, his, her, its, our, your, their (always refers to the subject of the sentence)<br>2. allied, friendly<br>3. peculiar"
18,весь,<i>Verb</i><br>1. to weigh (to have a certain weight)
19,год,<i>Noun</i><br>1. year
20,от,<i>Preposition</i><br>1. from<br>2. since
21,так,<i>Noun</i><br>1. taka (currency of Bangladesh)
22,для,<i>Verb</i><br>1. to delay
23,ты,"<i>Pronoun</i><br>1. second-person singular, nominative case: you, thou<br>2. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>3. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>4. The prepositional case is never used without a preposition<br>5. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>6. Archaic feminine form: оне́ (oné)<br>7. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>8. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>9. The prepositional case is never used without a preposition<br>10. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal."
24,тот,"<i>Determiner</i><br>1. that, those<br>2. the one<br>3. the other"
